domain,rule,fingerprint,original,resolved
synchronycredit.com.edgekey.net,synchronycredit\.com\.edgekey\.net\/Alme\/alme-routing\.js,0,iva.synchronycredit.com,iva.synchronycredit.com.edgekey.net
gannett.map.fastly.net,gannett\.map\.fastly\.net\/overlay\/entrance_110624_LocalBAU24,0,cm.augustachronicle.com,domains.gannett.map.fastly.net
nc0.co,nc0\.co\/TWDC-DTCI\/prod\/code\/7e05b88b1cfc8fb1aa467c02e3f733bb\.js,2,dcf.espn.com,twdc-dtci.edge.nc0.co
1978974432.rsc.cdn77.org,1978974432\.rsc\.cdn77\.org\/wp-includes\/js\/comment-reply\.min\.js,0,cdn.dxomark.com,1978974432.rsc.cdn77.org
cloudflare.net,cloudflare\.net\/svgicons\/icons\/sh_pc_sui_icon_nav_search_24px\.svg,0,shein.ltwebstatic.com,shein.ltwebstatic.com.cdn.cloudflare.net
online-metrix.net,online-metrix\.net\/fp\/check\.js,3,dpf.authorize.net,h-k8vif92e-au.online-metrix.net
cloudflare.net,cloudflare\.net\/assets\/lib\/js\/remplib\.js,2,campaign.tempo.co,campaign.tempo.co.cdn.cloudflare.net
contentpass.net,contentpass\.net\/now\.js,2,cp.nextpit.fr,0668abbe.with.contentpass.net
bloomberga.com,bloomberga\.com\/s3\/sparkle\/v6\/sparkle\.mjs,2,assets.bwbx.io,assets-bwbx-io.shared.bloomberga.com
d2ntrob2ausyz5.cloudfront.net,d2ntrob2ausyz5\.cloudfront\.net\/puzzle\/hk4e\/pz_5kX9OCsTQR\/781\.5a5f8b66\.js,3,act.hoyoverse.com,d2ntrob2ausyz5.cloudfront.net
mktoweb.com,mktoweb\.com\/js\/forms2\/css\/forms2-theme-simple\.css,0,go.bd.com,carefusioncorporation.mktoweb.com
exponea.com,exponea\.com\/js\/exponea\.min\.js,2,api.e.nextdirect.com,api-nxt-nextdirect.uk.exponea.com
